question,ground_truth,pipeline_answer,retrieved_contexts,answer_similarity,context_relevance,exact_match
What does the Chain of Thought (CoT) technique relate to in the context of the passage?,The Chain of Thought (CoT) technique relates to prompting in large language models.,"The Chain of Thought (CoT) technique, as referenced in the passage, relates to a structured approach in advanced prompt engineering for Large Language Models (LLMs). It involves creating a sequence of interconnected steps or processes, where each component performs a specific function and contributes to the overall outcome. This method allows for more complex and nuanced processing by tailoring each stage to handle specific aspects of a task. The CoT technique is particularly beneficial in complex problem-solving scenarios, as it enables LLMs to consider multiple lines of reasoning and possibilities before arriving at a conclusion, thereby enhancing their ability to manage ambiguity and complexity in tasks (source document).","part.
For OPT inference on classification and multiple-choice tasks, we use the model to get the average
log-likelihood (by tokens) of all the candidates/label words, and predict the one with the highest
average log-likelihood. For generation tasks, we use greedy decoding to generate the answer.
For in-context learning, we use 32 examples in the context. We also try filling in as many examples
as possible in the context but this does not improve performance and sometimes leads to unstable
results. Thus we keep the 32-example results.
25 | components in a sequence to handle complex tasks with Large
Language Models (LLMs). This approach involves creating a
series of interconnected steps or processes, each contributing
to the final outcome. The concept of Chains is based on
the idea of constructing a workflow where different stages
or components are sequentially arranged. Each component in
a Chain performs a specific function, and the output of one
serves as the input for the next. This end-to-end arrangement
allows for more complex and nuanced processing, as each
stage can be tailored to handle a specific aspect of the task.
Chains can vary in complexity and structure, depending on
the requirements. In “PromptChainer: Chaining Large Lan-
guage Model Prompts through Visual Programming” [162],
the authors not only describe the main challenges in designing
chains, but also describe a visual tool to support those tasks.
7) Rails: Rails in advanced prompt engineering refer to | each is assessed for its validity and relevance to the query.
This process involves real-time analysis and comparison of
the branches, leading to a selection of the most coherent and
logical outcome.
ToT is particularly useful in complex problem-solving
scenarios where a single line of reasoning might not suffice.
It allows LLMs to mimic a more human-like problem-solving
approach, considering a range of possibilities before arriving
at a conclusion. This technique enhances the model’s ability
to handle ambiguity, complexity, and nuanced tasks, making it
a valuable tool in advanced AI applications.
3) Self-Consistency: Self-Consistency [159] utilizes an
ensemble-based method, where the LLM is prompted to gen-
erate multiple responses to the same query. The consistency
among these responses serves as an indicator of their accuracy
and reliability.
The Self-Consistency approach is grounded in the principle
that if an LLM generates multiple, similar responses to the",0.8336,0.4426,0.0
What toolkit was released by Mikolov that helped popularize NLMs?,RNNLM,"The toolkit released by Tomas Mikolov that helped popularize Neural Language Models (NLMs) is known as Word2Vec. This toolkit provided a method for efficiently training word embeddings, which are dense vector representations of words that capture their meanings and relationships in a continuous vector space. Word2Vec significantly advanced the field of natural language processing by enabling the development of models that could understand and generate human-like text based on the learned representations of words (source document).","the authors not only describe the main challenges in designing
chains, but also describe a visual tool to support those tasks.
7) Rails: Rails in advanced prompt engineering refer to
a method of guiding and controlling the output of Large
Language Models (LLMs) through predefined rules or tem-
plates. This approach is designed to ensure that the model’s
responses adhere to certain standards or criteria, enhancing the
relevance, safety, and accuracy of the output. The concept of
Rails involves setting up a framework or a set of guidelines
that the LLM must follow while generating responses. These
guidelines are typically defined using a modeling language or
templates known as Canonical Forms, which standardize the
way natural language sentences are structured and delivered.
Rails can be designed for various purposes, depending on
the specific needs of the application:
• Topical Rails: Ensure that the LLM sticks to a
particular topic or domain. | els based on neural networks. The recent success of LLMs is
an accumulation of decades of research and development of
language models, which can be categorized into four waves
that have different starting points and velocity: statistical lan-
guage models, neural language models, pre-trained language
models and LLMs.
Statistical language models (SLMs) view text as a sequence
of words, and estimate the probability of text as the product
of their word probabilities. The dominating form of SLMs
are Markov chain models known as the n-gram models,
which compute the probability of a word conditioned on its
immediate proceeding n − 1 words. Since word probabilities
are estimated using word and n-gram counts collected from
text corpora, the model needs to deal with data sparsity (i.e.,
assigning zero probabilities to unseen words or n-grams) by
using smoothing, where some probability mass of the model
is reserved for unseen n-grams [12]. N-gram models are | Large Language Models: A Survey
Shervin Minaee 1, Tomas Mikolov 2, Narjes Nikzad 3, Meysam Chenaghlu 4
Richard Socher 5, Xavier Amatriain 6, Jianfeng Gao 7
1 Applied Scientist, Amazon Inc
2 Senior Researcher, CIIRC CTU
3 Cologne University of Applied Sciences
4 Staff Machine Learning Scientist, Ultimate.ai
5 CEO, You.com
6 VP of Product, AI and Compute Enablement, Google Inc
7 VP of Deep Learning Group, Microsoft Research
Abstract—Large Language Models (LLMs) have drawn a
lot of attention due to their strong performance on a wide
range of natural language tasks, since the release of ChatGPT
in November 2022. LLMs’ ability of general-purpose language
understanding and generation is acquired by training billions of
model’s parameters on massive amounts of text data, as predicted
by scaling laws [1], [2]. The research area of LLMs, while very
recent, is evolving rapidly in many different ways. In this paper,
we review some of the most prominent LLMs, including three",0.4411,0.4889,0.0
What are some examples of prominent multi-modal LLMs mentioned in the passage?,"LLA VA, LLA VA-Plus, GPT-4, Qwen-vl, Next-GPT.","The passage does not explicitly mention specific examples of prominent multi-modal Large Language Models (LLMs). It primarily discusses various tokenization methods, datasets for fine-tuning models, and the performance of LLMs on benchmarks without detailing particular multi-modal models. Therefore, I cannot provide specific examples from the passage. If you have other sources or contexts in mind, please share them for a more comprehensive answer.","2) WordPieceEncoding: This algorithm is mainly used for
very well-known models such as BERT and Electra. At the
beginning of training, the algorithm takes all the alphabet from
the training data to make sure that nothing will be left as UNK
or unknown from the training dataset. This case happens when
the model is given an input that can not be tokenized by the
tokenizer. It mostly happens in cases where some characters are
not tokenizable by it. Similar to BytePairEncoding, it tries to
maximize the likelihood of putting all the tokens in vocabulary
based on their frequency.
3) SentencePieceEncoding: Although both tokenizers de-
scribed before are strong and have many advantages compared
to white-space tokenization, they still take assumption of
words being always separated by white-space as granted. This
assumption is not always true, in fact in some languages, words
can be corrupted by many noisy elements such as unwanted
spaces or even invented words. SentencePieceEncoding tries | There are three versions of this dataset. The first
version comprises 71,000 instruction-following data
points utilized to fine-tune the GPT4Tools model. The
next version consists of manually cleaned instruction
data used for validation, covering instructions related
to the tools from the first version. The last version is
cleaned instruction data used for testing and includes
instructions related to some tools that are not present
in the first version.
VI. P ROMINENT LLM S’ PERFORMANCE ON
BENCHMARKS
In this section we first provide an overview of some of
popular metrics used for evaluating the performance of LLMs
under different scenarios. We then look at the performance
of prominent large language models on some of the popular
datasets and benchmarks. | Fig. 24: Timeline of some of the most representative LLM frameworks (so far). In addition to large language models with our
#parameters threshold, we included a few representative works, which pushed the limits of language models, and paved the way
for their success (e.g. vanilla Transformer, BERT, GPT-1), as well as some small language models. ♣ shows entities that serve
not only as models but also as approaches. ♦ shows only approaches.
the decoder has a third sub-layer, which performs multi-head
attention over the output of the encoder stack. The attention
function can be described as mapping a query and a set of key-
value pairs to an output, where the query, keys, values, and
output are all vectors. The output is computed as a weighted
sum of the values, where the weight assigned to each value
is computed by a compatibility function of the query with the
corresponding key. Instead of performing a single attention
function with dmodel dimensional keys, values and queries,",0.3055,0.5149,0.0
What does the passage suggest about the performance of using individual sentences compared to the original SEGMENT-PAIR input format?,Using individual sentences hurts performance on downstream tasks.,"The passage suggests that using individual sentences (referred to as DOC-SENTENCES) performs slightly better than the original SEGMENT-PAIR input format when it comes to downstream task performance. However, it also notes that the DOC-SENTENCES format results in variable batch sizes, which can complicate the training process. As a result, the authors opted to use the FULL-SENTENCES format in their experiments for easier comparison with related work, despite the potential performance benefits of the DOC-SENTENCES approach (source document).","For example, the response to ”Recommend some good movies
for me” requires a lot of context about ”me” as well as what
movies are available and which ones I have not watched.
Context length is especially important for RAG, where large
portions of text might be retrieved and injected into the prompt
for generation (see section IV-C.
The longer the context length, the more tokens we can
squeeze into the context. The more information the model has
access to, the better its response will be. But on the other
hand, with very long context, it would be hard for the model
to remember everything and efficiently process all the informa-
tion. Attention-based models are highly inefficient for longer
contexts and that is why we should expect more research in
different mechanisms that enable processing longer contexts
and generally come up with more efficient architectures.
That being said, new architectures might not only propose
alternatives for the attention mechanism but rather rethink the | alternatives that lead to better downstream task
performance; (2) We use a novel dataset, CC-
NEWS , and conﬁrm that using more data for pre-
training further improves performance on down-
stream tasks; (3) Our training improvements show
that masked language model pretraining, under
the right design choices, is competitive with all
other recently published methods. We release our
model, pretraining and ﬁne-tuning code imple-
mented in PyTorch (
Paszke et al., 2017).
2 Background
In this section, we give a brief overview of the
BERT (
Devlin et al., 2019) pretraining approach
and some of the training choices that we will ex-
amine experimentally in the following section.
2.1 Setup
BERT takes as input a concatenation of two
segments (sequences of tokens), x1, . . . , x N
and y1, . . . , y M . Segments usually consist of
more than one natural sentence. The two seg-
ments are presented as a single input sequence
to BERT with special tokens delimiting them: | this setting outperforms the originally published
BERTBASE results and that removing the NSP loss
matches or slightly improves downstream task
performance, in contrast to
Devlin et al. (2019).
It is possible that the original BERT implementa-
tion may only have removed the loss term while
still retaining the SEGMENT -PAIR input format.
Finally we ﬁnd that restricting sequences to
come from a single document ( DOC -SENTENCES )
performs slightly better than packing sequences
from multiple documents ( FULL -SENTENCES ).
However, because the DOC -SENTENCES format
results in variable batch sizes, we use FULL -
SENTENCES in the remainder of our experiments
for easier comparison with related work.
4.3 Training with large batches
Past work in Neural Machine Translation has
shown that training with very large mini-batches
can both improve optimization speed and end-task
performance when the learning rate is increased
appropriately (
Ott et al., 2018). Recent work has",0.5774,0.5153,0.0
What is the total number of problems included in the GSM8K dataset?,8.5K problems,"The GSM8K dataset includes a total of 8,500 linguistically diverse grade school math word problems. This dataset is divided into a training set with 7,500 problems and a test set containing 1,000 problems (source document).","are a series of elementary calculations using basic
arithmetic operations.
• MATH [191] enables to assess how well models can
solve math problems. MATH dataset hast 12, 500
problems from high school math competitions. Each
problem in the dataset has a step-by-step solution and
a final answer enclosed in a box. The problems cover
a wide range of topics and have different levels of
complexity. There are seven subjects in total. Further-
more, the difficulty of each problem is rated based
on the AoPS standards on a scale from ′1′ to ′5′. A
′1′ shows the easiest problems in a subject, while ′5′
represents the most difficult. In terms of formatting,
all problems and solutions are presented using LATEX
and the Asymptote vector graphics language.
• HellaSwag [192] is designed to assess commonsense
reasoning in LLMs. This benchmark includes 70, 000
multiple-choice questions. Each question is derived
from one of two domains: ActivityNet or WikiHow, | ployed to evaluate the emergent abilities of LLMs.
• GSM8K [190] is designed to evaluate the model’s
ability for multi-step mathematical reasoning. GSM8K
includes 8.5K linguistically diverse grade school math
word problems written by humans. The dataset is split
into two sets: a training set with 7.5K problems,
and a test set with 1K problems. These problems
need 2 to 8 steps to be solved. Solutions mainly | approximately 100, 000 question-answer pairs con-
nected to more than 500 articles. The answers to
these questions are typically text fragments or spans
taken from the corresponding reading passages. The
questions may be unanswerable in some cases. The
dataset is divided into three sets: an 80% training set,
a 10% development set, and a 10% hidden test set.
• BoolQ [188] is a yes/no question-answering dataset
where the goal is reading comprehension task. BoolQ
includes 15, 942 examples. Each example is a triplet
that includes a question, a relevant paragraph, and
the solution. Although the main intuition behind
this dataset is for reading comprehension, it can be
used for reasoning, natural language inference, and
question-answering tasks.
• MultiRC [189] is another dataset that fits reading
comprehension task. MultiRC contains brief para-
graphs as well as multi-sentence questions that can
be answered using the information in the paragraph.",0.4328,0.5847,0.0
"Who are the authors of the paper titled ""Rewoo: Decoupling reasoning from observations for efficient augmented language models""?","B. Xu, Z. Peng, B. Lei, S. Mukherjee, Y. Liu, and D. Xu","The passage does not provide the names of the authors of the paper titled ""Rewoo: Decoupling reasoning from observations for efficient augmented language models."" Therefore, I cannot provide that information.","decouple reasoning from direct observations. ReWOO operates
by enabling LLMs to formulate comprehensive reasoning plans
or meta-plans without immediate reliance on external data
or tools. This approach allows the agent to create a struc-
tured framework for reasoning that can be executed once the
necessary data or observations are available. In ReWOO, the
LLM initially develops a plan (a series of steps) that outlines
how to approach and solve a given problem. This meta-
planning phase is crucial as it sets the stage for the agent to
process information once it becomes available. The execution
phase then involves integrating actual data or observations into
the pre-specified plan, leading to coherent and contextually
relevant responses. ReWOO offers significant advantages in
terms of token efficiency and robustness to tool failure. It
enables LLMs to handle tasks where immediate access to
external data is not available, relying instead on a well- | produces the expected result, and cope with when things do
not go as expected, etc. We will discuss in detail LLM-based
agents in Section IV.
In the rest of this paper, Section II presents an overview of
state of the art of LLMs, focusing on three LLM families (GPT,
LLaMA and PaLM) and other representative models. Section
III discusses how LLMs are built. Section IV discusses how
LLMs are used, and augmented for real-world applications
Sections V and VI review popular datasets and benchmarks for
evaluating LLMs, and summarize the reported LLM evaluation
results. Finally, Section VII concludes the paper by summa-
rizing the challenges and future research directions.
II. L ARGE LANGUAGE MODELS
In this section we start with a review of early pre-trained
neural language models as they are the base of LLMs, and
1Recently, several very promising non-transformer LLMs have been pro-
posed, such as the LLMs based on structured state space models [29], [30].
See Section VII for more details. | we refer the readers to this survey of retrieval augmented
generations [165].
D. Using External T ools
Retrieving information from an external knowledge source
as described above is only one of the potential ways to augment
an LLM. More generally, an LLM can access any number
of external tools (e.g. an API to a service) to augment its
functionality. In that regards, RAG can be seen as a specific
instance of the broader category of the so called ”tools”.
Tools in this context are external functions or services that
LLMs can utilize. These tools extend the range of tasks an
LLM can perform, from basic information retrieval to complex
interactions with external databases or APIs.
In the paper ”Toolformer: Language Models Can Teach
Themselves to Use Tools” [169], the authors go beyond simple
tool usage by training an LLM to decide what tool to use
when, and even what parameters the API needs. Tools include
two different search engines, or a calculator. In the following",0.1932,0.5755,0.0
What is a challenge faced by attention-based models when dealing with longer contexts?,Attention-based models are highly inefficient for longer contexts.,"A challenge faced by attention-based models when dealing with longer contexts is the difficulty in learning long-range dependencies. This challenge arises from the increased path length that forward and backward signals must traverse in the network, which can complicate the model's ability to effectively capture relationships between distant positions in the input sequence. As the length of the input increases, the number of sequential operations required also increases, making it harder for the model to maintain coherence and relevance across longer contexts (source document).","during training. This can help the model to provide more
definite and reliable answers.
2) Deduplication: De-duplication refers to the process of
removing duplicate instances or repeated occurrences of the
same data in a dataset. Duplicate data points can introduce
biases in the model training process and reduce the diversity, as
the model may learn from the same examples multiple times,
potentially leading to overfitting on those particular instances.
Some works [125] have shown that de-duplication improves
models’ ability to generalize to new, unseen data.
The de-duplication process is particularly important when
dealing with large datasets, as duplicates can unintentionally
inflate the importance of certain patterns or characteristics.
This is especially relevant in NLP tasks, where diverse and
representative training data is crucial for building robust lan-
guage models.
The specific de-duplication method can vary based on | in the distance between positions, linearly for ConvS2S and logarithmically for ByteNet. This makes
it more difficult to learn dependencies between distant positions [ 12]. In the Transformer this is
reduced to a constant number of operations, albeit at the cost of reduced effective resolution due
to averaging attention-weighted positions, an effect we counteract with Multi-Head Attention as
described in section 3.2.
Self-attention, sometimes called intra-attention is an attention mechanism relating different positions
of a single sequence in order to compute a representation of the sequence. Self-attention has been
used successfully in a variety of tasks including reading comprehension, abstractive summarization,
textual entailment and learning task-independent sentence representations [4, 27, 28, 22].
End-to-end memory networks are based on a recurrent attention mechanism instead of sequence- | One is the total computational complexity per layer. Another is the amount of computation that can
be parallelized, as measured by the minimum number of sequential operations required.
The third is the path length between long-range dependencies in the network. Learning long-range
dependencies is a key challenge in many sequence transduction tasks. One key factor affecting the
ability to learn such dependencies is the length of the paths forward and backward signals have to
traverse in the network. The shorter these paths between any combination of positions in the input
and output sequences, the easier it is to learn long-range dependencies [12]. Hence we also compare
the maximum path length between any two input and output positions in networks composed of the
different layer types.
As noted in Table 1, a self-attention layer connects all positions with a constant number of sequentially
executed operations, whereas a recurrent layer requires O(n) sequential operations. In terms of",0.7183,0.4266,0.0
What can potentially lead to overfitting in models?,Learning from the same examples multiple times.,"Several factors can potentially lead to overfitting in models, including:

1. **Complexity of the Model**: If a model is too complex relative to the amount of training data available, it may learn to capture noise and specific patterns in the training data rather than generalizing well to unseen data.

2. **Insufficient Training Data**: A limited dataset can cause a model to memorize the training examples instead of learning generalizable patterns, leading to poor performance on new data.

3. **Lack of Regularization**: Without appropriate regularization techniques, such as dropout or weight decay, a model may become overly tailored to the training data, resulting in overfitting.

4. **Imbalanced Data**: If the training data is imbalanced, the model may focus excessively on the majority class, which can lead to overfitting on that class while neglecting others.

5. **High Number of Epochs**: Training a model for too many epochs without early stopping can lead to overfitting, as the model continues to adjust to the training data rather than generalizing.

These factors highlight the importance of careful model design, data preparation, and training strategies to mitigate the risk of overfitting (source document).","(LLMs) to handle complex tasks that require both reasoning
and interaction with external data sources or tools.
ART involves a systematic approach where, given a task
and input, the system first identifies similar tasks from a task
library. These tasks are then used as examples in the prompt,
guiding the LLM on how to approach and execute the current
task. This method is particularly effective when tasks require a
combination of internal reasoning and external data processing
or retrieval.
E. LLM Agents
The idea of AI agents has been well-explored in the history
of AI. An agent is typically an autonomous entity that can
perceive the environment using its sensors, make a judgment
based on the state it currently is, and accordingly act based on
the actions that are available to it.
In the context of LLMs, an agent refers to a system based
on a specialized instantiation of an (augmented) LLM that
is capable of performing specific tasks autonomously. These | from the training data, to lower the chance of model generating
false responses. Two mainstream approaches for quality filter-
ing includes: classifier-based, and heuristic-based frameworks.
Handling Outliers: Identifying and handling outliers or
anomalies in the data to prevent them from disproportionately
influencing the model.
Addressing Imbalances: Balancing the distribution of
classes or categories in the dataset to avoid biases and ensure
fair representation. This is specially useful for responsible
model training and evaluation.
Text Preprocessing: Cleaning and standardizing text data
by removing stop words, punctuation, or other elements that
may not contribute significantly to the model’s learning.
Dealing with Ambiguities: Resolving or excluding am-
biguous or contradictory data that might confuse the model
during training. This can help the model to provide more
definite and reliable answers.
2) Deduplication: De-duplication refers to the process of | 4) Reflection: Reflection [160] involves prompting LLMs
to assess and potentially revise their own outputs based on
reasoning about the correctness and coherence of their re-
sponses. The concept of Reflection centers on the ability of
LLMs to engage in a form of self-evaluation. After generating
an initial response, the model is prompted to reflect on its
own output, considering factors like factual accuracy, logical
consistency, and relevance. This introspective process can lead
to the generation of revised or improved responses.
A key aspect of Reflection is the LLM’s capacity for
self-editing. By evaluating its initial response, the model can
identify potential errors or areas of improvement. This iterative
process of generation, reflection, and revision enables the LLM
to refine its output, enhancing the overall quality and reliability
of its responses.
5) Expert Prompting: Expert Prompting [161] enhances the
capabilities of Large Language Models (LLMs) by simulating",0.3404,0.4524,0.0
"Who are the authors of the paper titled ""Building a large annotated corpus of english: The penn treebank""?","Mitchell P Marcus, Mary Ann Marcinkiewicz, and Beatrice Santorini.","The authors of the paper titled ""Building a large annotated corpus of English: The Penn Treebank"" are Mitchell P. Marcus, Beatrice Santorini, and Mary Ann Marcinkiewicz (source document).","and interpretable tree annotation. In Proceedings of the 21st International Conference on
Computational Linguistics and 44th Annual Meeting of the ACL , pages 433–440. ACL, July
2006.
[30] Ofir Press and Lior Wolf. Using the output embedding to improve language models. arXiv
preprint arXiv:1608.05859, 2016.
[31] Rico Sennrich, Barry Haddow, and Alexandra Birch. Neural machine translation of rare words
with subword units. arXiv preprint arXiv:1508.07909, 2015.
[32] Noam Shazeer, Azalia Mirhoseini, Krzysztof Maziarz, Andy Davis, Quoc Le, Geoffrey Hinton,
and Jeff Dean. Outrageously large neural networks: The sparsely-gated mixture-of-experts
layer. arXiv preprint arXiv:1701.06538, 2017.
[33] Nitish Srivastava, Geoffrey E Hinton, Alex Krizhevsky, Ilya Sutskever, and Ruslan Salakhutdi-
nov. Dropout: a simple way to prevent neural networks from overfitting. Journal of Machine
Learning Research, 15(1):1929–1958, 2014. | the authors not only describe the main challenges in designing
chains, but also describe a visual tool to support those tasks.
7) Rails: Rails in advanced prompt engineering refer to
a method of guiding and controlling the output of Large
Language Models (LLMs) through predefined rules or tem-
plates. This approach is designed to ensure that the model’s
responses adhere to certain standards or criteria, enhancing the
relevance, safety, and accuracy of the output. The concept of
Rails involves setting up a framework or a set of guidelines
that the LLM must follow while generating responses. These
guidelines are typically defined using a modeling language or
templates known as Canonical Forms, which standardize the
way natural language sentences are structured and delivered.
Rails can be designed for various purposes, depending on
the specific needs of the application:
• Topical Rails: Ensure that the LLM sticks to a
particular topic or domain. | Penn Treebank [25], about 40K training sentences. We also trained it in a semi-supervised setting,
using the larger high-confidence and BerkleyParser corpora from with approximately 17M sentences
[37]. We used a vocabulary of 16K tokens for the WSJ only setting and a vocabulary of 32K tokens
for the semi-supervised setting.
We performed only a small number of experiments to select the dropout, both attention and residual
(section 5.4), learning rates and beam size on the Section 22 development set, all other parameters
remained unchanged from the English-to-German base translation model. During inference, we
9",0.5164,0.5422,0.0
What is the relationship between the slowdown of ZO-SGD and the effective rank r?,"The slowdown of ZO-SGD is proportional to the effective rank r, not the parameter dimension.","The relationship between the slowdown of Zero-Order Stochastic Gradient Descent (ZO-SGD) and the effective rank \( r \) is that the convergence rate of ZO-SGD is influenced by the effective rank of the Hessian of the loss function. Specifically, the passage indicates that the slowdown in convergence can be attributed to the effective rank \( r \) being small. When the effective rank is low, it implies that the model can optimize more efficiently, as the optimization landscape is less complex. Conversely, if the effective rank is high, it can lead to a more complicated optimization process, resulting in a slower convergence rate for ZO-SGD. This relationship highlights the importance of understanding the structure of the Hessian in optimizing large models (source document).","is that they can be represented as the product of two smaller
matrices. This realization leads to the hypothesis that this delta
between fine-tuned weights and initial pre-trained weights can
be represented as the matrix product of two much smaller
matrices. By focusing on updating these two smaller matrices
rather than the entire original weight matrix, computational
efficiency can be substantially improved.
Specifically, for a pre-trained weight matrix W0 ∈ Rd×k,
LoRA constrains its update by representing the latter with
a low-rank decomposition W0 + ∆W = W0 + BA, where
B ∈ Rd×r , A ∈ Rr×k, and the rank r ≪ min(d, k). During
training, W0 is frozen and does not receive gradient updates,
while A and B contain trainable parameters. It is worth
mentioning that both W0 and ∆W = BA are multiplied with
the same input, and their respective output vectors are summed
coordinate-wise. For h = W0x, their modified forward pass
yields: h = W0x + ∆W x = W0x + BAx. Usually a random | the number of parameters. We show that the loss decreases per step at a rate independent of the
parameter dimension d (Theorem 1), and that, under stronger conditions, the algorithm converges in
time independent of d (Lemma 3). Together, these results imply that MeZO is not catastrophically
slower than SGD when fine-tuning.6 For ease of illustration, we assume that z is sampled from a
sphere with radius
√
d, and in Appendix G.2, we derive the rate for a general Gaussian z, which was
used in the experiments.
We follow classical analyses of SGD and replace the minibatch gradient estimate with SPSA (Defi-
nition 1). Consider the minibatch SGD update θt+1 ← θt − η∇L(θ; Bt) where Bt is a minibatch
drawn uniformly from DB. Crucially, the SGD minibatch gradient estimate is unbiased.
Definition 3 (Unbiased Gradient Estimate). Any minibatch gradient estimate g(θ, B) is said to be
unbiased if E[g(θ, B)] = ∇L(θ).
4.1 Per-step analysis | be obtained at each step and, as a consequence, slows convergence by a factor of d as well.
Surprisingly, our experiments show that MeZO can quickly optimize pre-trained models with billions
of parameters, and reducing the number of tuned parameters via PEFT techniques does not substan-
tially accelerate optimization (Appendix F.3). We attribute these phenomena to the Hessian of the loss
exhibiting small local effective rank. It is prohibitively expensive to directly measure the effective
rank of the Hessian of a large LM on a reasonably sized dataset. However, many previous works
have shown that the Hessian of the loss for deep neural networks trained by SGD has remarkably low
6Section 3 uses the standard choice of Adam for FT; we provide SGD experiments in Appendix F.1.
7This is satisfied for the standard cross-entropy objective.
8All of our experiments use n = 1.
8",0.7822,0.5285,0.0
